nombre,nombre_cientifico,estado,amenazas,organizaciones,acciones_recomendadas
antelope,Antilopinae,Vulnerable,Caza furtiva;Pérdida de hábitat,WWF; African Wildlife Foundation,Protección de ecosistemas;Control de caza ilegal
badger,Meles meles,No amenazada,Enfermedades;Atropellos,Wildlife Trusts,Monitoreo de salud;Pasos de fauna
bat,Chiroptera,En peligro,Pérdida de refugios;Virus zoonóticos,Bat Conservation International;WWF,Instalación de refugios;Educación pública
bear,Ursidae,Vulnerable,Pérdida de hábitat;Cambio climático,WWF; IUCN,Creación de reservas;Gestión de conflictos
bee,Apis mellifera,En peligro,Plaguicidas;Cambio climático;Enfermedades,Greenpeace; BeeLife,Reducción de agroquímicos;Reforestación
beetle,Coleoptera,Vulnerable,Contaminación;Destrucción de microhábitats,Insect Conservation Trust,Conservación de bosques;Evitar pesticidas
bison,Bison bison,Vulnerable,Caza histórica;Reducción del hábitat,IUCN; Bison Conservation Trust,Reintroducción en reservas;Educación local
boar,Sus scrofa,No amenazada,Control humano;Colisiones con vehículos,None,Monitoreo poblacional;Gestión local
butterfly,Lepidoptera,Vulnerable,Destrucción de hábitats florales;Plaguicidas,Monarch Watch; WWF,Reforestación con plantas nativas;Evitar químicos
cat,Felis catus,No amenazada,Especie doméstica,None,Promover esterilización y tenencia responsable
caterpillar,Larva de Lepidoptera,No amenazada,Pérdida de flora huésped,None,Conservación de flora nativa
chimpanzee,Pan troglodytes,En peligro,Caza furtiva;Fragmentación del bosque,Jane Goodall Institute;WWF,Educación comunitaria;Protección de hábitats
cockroach,Blattodea,No amenazada,Control humano,None,Ninguna medida ecológica requerida
cow,Bos taurus,No amenazada,Intensificación agrícola,None,Fomentar ganadería sostenible
coyote,Canis latrans,No amenazada,Conflicto con humanos;Expansión urbana,Wildlife Services; Urban Coyote Research,Educación comunitaria;Control no letal
crab,Brachyura,No amenazada,Contaminación costera;Pesca indiscriminada,Marine Conservation Institute,Regulación pesquera;Protección de manglares
crow,Corvus brachyrhynchos,No amenazada,Expansión urbana,None,Monitoreo poblacional
deer,Cervidae,No amenazada,Caza deportiva;Pérdida de hábitat,Wildlife Trusts,Regulación de caza;Conectividad ecológica
dog,Canis lupus familiaris,No amenazada,Abandono;Mala tenencia,None,Esterilización;Educación responsable
dolphin,Delphinidae,Vulnerable,Pesca con redes;Contaminación marina,Ocean Conservancy;WWF,Reducción de plástico;Vigilancia pesquera
donkey,Equus asinus,No amenazada,Explotación laboral,None,Promoción de bienestar animal
dragonfly,Anisoptera,Vulnerable,Contaminación de ríos;Pérdida de humedales,Freshwater Habitats Trust,Protección de riberas;Educación ambiental
duck,Anas platyrhynchos,No amenazada,Caza;Contaminación del agua,Duck Unlimited,Protección de humedales;Regulación de caza
eagle,Aquila chrysaetos,Vulnerable,Caza;Pérdida de nidos,IUCN; Raptor Conservation Foundation,Educación rural;Protección de zonas de anidación
elephant,Elephas maximus,Vulnerable,Conflictos con humanos;Pérdida de hábitat,WWF; Save the Elephants,Creación de corredores;Monitoreo satelital
flamingo,Phoenicopterus roseus,No amenazada,Contaminación de lagunas;Turismo desregulado,Audubon Society,Protección de lagunas salinas;Regulación del turismo
fly,Diptera,No amenazada,Ninguna significativa,None,Sin medidas relevantes
fox,Vulpes vulpes,No amenazada,Persecución en áreas rurales;Fragmentación,Wildlife Trusts,Educación;Monitoreo
goat,Capra aegagrus hircus,No amenazada,Sobrepastoreo;Erosión del suelo,None,Manejo sostenible del ganado
