nombre,descripcion,estado,imagen,nombre_cientifico,acciones_recomendadas,organizaciones,amenazas,habitat,reubicacion
Tigre de Bengala,Imponente depredador del sudeste asiático con un pelaje anaranjado y rayas oscuras.,28,img/monitoreo/1_tigre.webp,Panthera tigris tigris,"Apoyar campañas de protección de hábitat, evitar pieles y productos derivados","WWF, Panthera","Caza furtiva por su piel y huesos utilizados en medicina tradicional, fragmentación del hábitat debido a la expansión agrícola y urbana, conflictos con humanos","Bosques tropicales, manglares y pastizales del sur y sudeste asiático","Parques nacionales de Nepal (Chitwan, Bardia) y el Santuario de Vida Silvestre Sundarbans compartido entre India y Bangladesh"
Rinoceronte de Java,Mamífero solitario y esquivo uno de los rinocerontes más raros del planeta.,2,img/monitoreo/2_rino.webp,Rhinoceros sondaicus,"Apoyar la vigilancia de parques nacionales","International Rhino Foundation","Destrucción del hábitat por plantaciones y desarrollo, caza furtiva por el valor de su cuerno en el mercado negro","Bosques tropicales húmedos, especialmente en áreas protegidas como el Parque Nacional Ujung Kulon en Indonesia","Santuario Cagar Alam Gunung Honje (Indonesia) como zona de expansión segura"
Gorila de montaña,Primate carismático que habita los bosques montañosos de África Central.,11,img/monitoreo/3_gorila.webp,Gorilla beringei beringei,"Participar en turismo ecológico, donar a proyectos de protección","Dian Fossey Gorilla Fund","Enfermedades transmitidas por humanos, pérdida de hábitat por agricultura y tala ilegal, conflictos armados","Bosques nublados de montaña en las regiones de los volcanes de Uganda, Ruanda y República Democrática del Congo","Extensiones protegidas del Parque Nacional de Kahuzi-Biega (RDC) con similares condiciones ecológicas"
Elefante asiático,Inteligente y social este elefante enfrenta graves amenazas por el conflicto humano-animal.,41,img/monitoreo/4_elefante.webp,Elephas maximus,"Apoyar reservas naturales y evitar el marfil","Wildlife SOS, Elephant Family","Conflictos territoriales con comunidades humanas, pérdida de hábitat por expansión agrícola e infraestructura, caza furtiva por marfil","Bosques tropicales y subtropicales, zonas de sabana y áreas agrícolas del sur y sudeste asiático","Corredor forestal transfronterizo entre Tailandia y Myanmar (Dawna Tenasserim)"
Leopardo de Amur,Felino ágil de clima frío adaptado para sobrevivir en los bosques de Rusia oriental.,4,img/monitoreo/5_leopardo.webp,Panthera pardus orientalis,"Difundir su situación crítica, apoyar organizaciones de conservación","ALTA (Amur Leopard and Tiger Alliance)","Pérdida de presas naturales como ciervos, expansión urbana que fragmenta su hábitat, caza furtiva","Bosques templados fríos de coníferas y caducifolios del Lejano Oriente ruso y noreste de China","Área protegida de Hunchun en el noreste de China, parte de la Iniciativa de Corredores del Amur"
Orangután de Borneo,Gran simio arbóreo altamente inteligente vital para los ecosistemas selváticos.,52,img/monitoreo/6_orangutan.webp,Pongo pygmaeus,"Evitar productos con aceite de palma, donar a centros de rescate","BOS Foundation","Deforestación masiva por la industria del aceite de palma, comercio ilegal de crías como mascotas, incendios forestales","Selvas tropicales húmedas y pantanosas de la isla de Borneo","Reserva natural de Bukit Batikap (Kalimantan Central, Indonesia) como zona de reintroducción activa"
Lince ibérico,Felino emblemático de la península ibérica símbolo de la conservación en Europa.,21,img/monitoreo/7_lince.webp,Lynx pardinus,"Promover corredores biológicos, participar en actividades educativas","WWF España","Disminución del conejo silvestre, su presa principal, atropellos en carreteras, pérdida de hábitat mediterráneo","Bosques mediterráneos y matorrales de la península ibérica, especialmente en Andalucía y Extremadura","Región del Valle del Guadiana (Portugal), donde se han reintroducido con éxito"
Cóndor de California,Ave carroñera de gran envergadura crucial para mantener los ecosistemas limpios.,7,img/monitoreo/8_condor.webp,Gymnogyps californianus,"Apoyar programas de liberación, evitar plomo en municiones","Ventana Wildlife Society","Envenenamiento por plomo en cadáveres de animales cazados, baja tasa de reproducción, colisiones con líneas eléctricas","Zonas montañosas, cañones y acantilados del suroeste de Estados Unidos","Sierra de San Pedro Mártir en Baja California (México), área de liberación y monitoreo activo"
Vaquita marina,La marsopa más pequeña y rara del mundo exclusiva del Golfo de California.,1,img/monitoreo/9_vaqu.webp,Phocoena sinus,"Evitar productos de pesca ilegal, exigir medidas gubernamentales","Sea Shepherd, Museo de la Ballena","Captura incidental en redes agalleras, pesca ilegal de totoaba que utiliza métodos mortales para vaquitas","Aguas poco profundas del Alto Golfo de California, México","No hay reubicación viable conocida; requiere protección estricta in situ"
Oso polar,Cazador ártico dependiente del hielo marinosímbolo del impacto del cambio climático.,35,img/monitoreo/10_oso.webp,Ursus maritimus,"Reducir huella de carbono, apoyar ciencia polar","Polar Bears International","Derretimiento del hielo marino por cambio climático, contaminación marina, escasez de presas como focas","Regiones árticas del hemisferio norte, en plataformas de hielo y costas del océano Ártico","Archipiélago ártico canadiense y zonas costeras del norte de Groenlandia, con hielo más persistente"
Pangolín malayo,Mamífero cubierto de escamas el más traficado del mundo.,1,img/monitoreo/11_pangolin.webp,Manis javanica,"Apoyar leyes contra el tráfico de fauna, evitar medicina tradicional con partes de pangolín","TRAFFIC, Save Pangolins","Tráfico ilegal por sus escamas y carne, pérdida de hábitat por deforestación, baja tasa reproductiva","Bosques tropicales y subtropicales del sudeste asiático","Reserva protegida Taman Negara (Malasia) y Bukit Timah (Singapur), con vigilancia contra el tráfico"
Tortuga carey,Tortuga marina con caparazón vistoso clave para la salud de los arrecifes.,26,img/monitoreo/12_tortuga.webp,Eretmochelys imbricata,"Evitar comprar joyería de carey, apoyar programas de conservación marina","WWF, Sea Turtle Conservancy","Caza por su caparazón, contaminación plástica y petrolera en los océanos, degradación de los arrecifes","Aguas cálidas tropicales de océanos Atlántico, Pacífico e Índico, especialmente cerca de arrecifes coralinos","Playas protegidas de Tortuguero (Costa Rica) y Parque Nacional Jardines de la Reina (Cuba)"
Atún rojo del Atlántico,Especie de gran valor comercial y ecológico sobreexplotada por décadas.,78,img/monitoreo/13_atun.webp,Thunnus thynnus,"Consumir pescado de pesca sostenible, apoyar regulaciones pesqueras","Bluefin Tuna Recovery Program","Sobrepesca industrial, pesca ilegal sin regulación, disminución de poblaciones juveniles","Océano Atlántico norte y mar Mediterráneo","Zonas marinas protegidas del mar Balear y el Golfo de León, con regulaciones de pesca estrictas"
Ajolote,Anfibio mexicano conocido por su capacidad regenerativa y su estado crítico.,66,img/monitoreo/14_ajolote.webp,Ambystoma mexicanum,"Apoyar conservación de humedales, no liberar mascotas en cuerpos de agua","UNAM, Axolotl Conservation","Contaminación de canales, introducción de especies exóticas como carpas y tilapias, pérdida de hábitat acuático","Canales, lagos y humedales de Xochimilco en la Ciudad de México","Reservas ecológicas dentro de Xochimilco como Cuemanco, con restauración activa de humedales"
Iguana de Ricord,Reptil endémico con un papel clave en la dispersión de semillas.,93,img/monitoreo/15_iguana.webp,Cyclura ricordii,"Apoyar esfuerzos locales de protección y monitoreo","Zoological Society of London","Destrucción del hábitat por ganadería y minería, caza por consumo humano","Bosques secos y matorrales espinosos de la isla Española en República Dominicana","Isla Cabritos (Parque Nacional Jaragua) como santuario controlado y sitio de reproducción"
Cacatúa de las Filipinas,Ave tropical con plumaje blanco y cresta amarilla símbolo nacional en peligro.,91,img/monitoreo/16_cacatua.webp,Cacatua haematuropygia,"Evitar compra de aves exóticas, promover educación ambiental","Katala Foundation","Tráfico ilegal como mascota, pérdida de hábitat por deforestación y expansión agrícola","Bosques tropicales de las islas de Palawan y otras regiones del archipiélago filipino","Centro de cría y liberación en Narra (Palawan) con hábitat monitoreado"
Gato de cabeza plana,Felino pequeño y semiacuático del sudeste asiático poco conocido y muy raro.,71,img/monitoreo/17_gato.webp,Prionailurus planiceps,"Proteger humedales, apoyar investigación científica","IUCN Cat Specialist Group","Pérdida de hábitat por drenaje de humedales, contaminación de ríos, escasez de presas acuáticas","Zonas pantanosas, riberas de ríos y manglares del sudeste asiático","Reserva de Humedales de Kinabatangan (Sabah, Borneo Malayo) con control de turismo y pesca"
Mono narigudo,Primate de gran nariz y nadador habilidoso endémico de Borneo.,60,img/monitoreo/18_mono.webp,Nasalis larvatus,"Apoyar turismo responsable, evitar productos que incentiven la deforestación","Borneo Orangutan Survival Foundation","Expansión agrícola para palma aceitera, tala ilegal, fragmentación de su hábitat ribereño","Bosques de manglares y selvas inundadas a lo largo de los ríos de Borneo","Reserva forestal de Lower Kinabatangan (Sabah) como corredor ribereño protegido"
Canguro arborícola de Matschie,Marsupial que habita árboles en Papúa Nueva Guinea amenazado por la caza.,19,img/monitoreo/19_canguro.webp,Dendrolagus matschiei,"Promover reservas forestales, apoyar educación ambiental","Tree Kangaroo Conservation Program","Caza por carne y trofeos, pérdida de hábitat por tala y agricultura de subsistencia","Bosques montañosos y nublados de Papúa Nueva Guinea, especialmente en altitudes altas","Área de conservación de YUS (Huon Peninsula), manejada por comunidades locales"
Delfín del río Irawadi,Cetáceo de agua dulce muy sensible a la actividad humana.,56,img/monitoreo/20_delfin.webp,Orcaella brevirostris,"Evitar el uso de redes destructivas, donar a proyectos de conservación fluvial","WWF Mekong","Contaminación por desechos industriales y agrícolas, colisiones con embarcaciones motorizadas, alteración de cauces fluviales y construcción de represas","Ríos y estuarios del sudeste asiático","Tramos protegidos del río Mekong entre Camboya y Laos con monitoreo local y sin motores"
Tiburón martillo gigante,Tiburón migratorio con gran aleta cefálica vital para los ecosistemas marinos.,92,img/monitoreo/21_tiburon.webp,Sphyrna mokarran,"Apoyar áreas marinas protegidas, rechazar sopa de aleta de tiburón","Shark Trust","Pesca dirigida comercial, práctica del aleteo (finning), captura incidental en redes de arrastre y palangre","Océanos tropicales y subtropicales","Áreas marinas protegidas como el Santuario de Tiburones de Bahamas y el Parque Nacional Isla del Coco"
