Año,Tigre de Bengala,Rinoceronte de Java,Gorila de montaña,Elefante asiático,Leopardo de Amur,Orangután de Borneo,Lince ibérico,Cóndor de California,Vaquita marina,Oso polar,Pangolín malayo,Tortuga carey,Atún rojo del Atlántico,Ajolote,Iguana de Ricord,Cacatúa de las Filipinas,Gato de cabeza plana,Mono narigudo,Canguro arborícola de Matschie,Delfín del río Irawadi,Tiburón martillo gigante,Geco de cola de hoja satánico,Pez napoleón,Rana dorada de Panamá,Ciempiés gigante amazónico,Águila monera,Caracol tigre de Borneo,Murciélago de la isla de Navidad,Langur de Delacour,Pez sierra verde,Cangrejo de los cocoteros,Pato serrucho brasileño,Salamandra gigante china,Gacela de Cuvier,Pez ángel de Clarión,Tortuga gigante de Aldabra,Mono araña de cabeza negra,Pez payaso de Mauritania,Tortuga de caparazón blando de Shanghái,Loro orejiamarillo,Pez guitarra común,Cerceta pardilla,Pez sapo de Borneo,Tortuga estrellada de Birmania,Pez loro bicolor,Gorrión de Worthen,Pez ángel emperador,Tortuga de caja de Indochina,Pez cirujano de aleta amarilla,Pez ballesta payaso,Pez mariposa de bandas de cobre,Pez león rojo,Pez escorpión de aletas voladoras,Pez piedra,Ocelote,Zorro de Darwin,Gavial del Ganges,Pez loro azul,Caimán del Orinoco,Tapir malayo,Lobo etíope,Mofeta moteada pigmea,Tortuga mapa de Barbour,Tiburón duende,Iguana azul,Gacela dama,Pato eider de Steller,Caballo de Przewalski,Guacamayo de Spix,Gato de Pallas,Dugongo,Zorro isleño,Salamandra de cueva olm,Tortuga gigante de Galápagos,Pangolín chino,Mariposa monarca,Ciervo almizclero,Gorila de río Cross,Cangrejo de los Yeti,Cebra de Grévy,Antílope saiga,Búho nival,Águila harpía,Gato andino,Dragón de Komodo,Oso panda gigante,Águila filipina,Lobo de crin,Pingüino de Galápagos,Buitre egipcio,Delfín rosado del Amazonas,Periquito de Mauricio,Gaviota rosada,Tortuga laúd,Pez espátula chino,Cabra de los Pirineos,Lémur de cola anillada,Mono capuchino de pecho amarillo,Gato de arena,Rana de Darwin,Lagarto de cola de látigo,Ganso nival
1900,40000.0,1000.0,5000.0,200000.0,300.0,230000.0,4000.0,600.0,5000.0,100000.0,,25923.0,78045.0,65618.0,93455.0,91153.0,70679.0,59839.0,19075.0,55936.0,92473.0,86450.0,81992.0,62145.0,65773.0,79273.0,33768.0,27468.0,61060.0,,53802.0,15166.0,30203.0,46166.0,96543.0,22762.0,52451.0,45181.0,25899.0,6307.0,89566.0,51213.0,,91611.0,60423.0,62496.0,5453.0,7482.0,80308.0,99861.0,37952.0,21760.0,88904.0,40186.0,34755.0,81168.0,40459.0,5763.0,,92386.0,100000.0,8990.0,77478.0,30666.0,38569.0,79956.0,30675.0,100000.0,65702.0,52203.0,26810.0,22115.0,,85213.0,36828.0,13375.0,76214.0,42174.0,32234.0,82908.0,24803.0,87396.0,42792.0,79186.0,72183.0,100000.0,38617.0,47142.0,56561.0,83042.0,100000.0,100000.0,94462.0,81225.0,10000.0,97711.0,100000.0,79909.0,,96793.0,,14349.0
1901,39708.0,992.56,4968.504,198760.0,298.56,228997.6,3968.752,592.8375,4960.08,99240.0,11929.6404,25725.9852,77451.858,65119.3032,92744.742,90460.2372,70141.8396,59384.2236,18930.03,55510.8864,91770.2052,85792.98,81368.8608,61672.698,65273.1252,78670.5252,,27259.2432,60595.944,11253.816,53393.1048,15050.7384,29973.4572,45815.1384,95809.2732,22589.0088,52052.3724,44837.6244,25702.1676,6259.0668,88885.2984,50823.7812,82237.2108,,59963.7852,62021.0304,5411.5572,7425.1368,79697.6592,99102.0564,37663.5648,21594.624,88228.3296,39880.5864,34490.862,80551.1232,40151.5116,5719.2012,76740.3072,91683.8664,99240.0,8921.676,76889.1672,30432.9384,38275.8756,79348.3344,,99240.0,65202.6648,,26606.244,21946.926,17344.1748,84565.3812,36548.1072,13273.35,75634.7736,41853.4776,31989.0216,82277.8992,24614.4972,86731.7904,42466.7808,78584.1864,71634.4092,99240.0,38323.5108,46783.7208,56131.1364,82410.8808,99240.0,99240.0,93744.0888,80607.69,9920.0,96968.3964,99240.0,79301.6916,98943.2724,96057.3732,87144.6288,14239.9476
1902,39416.0,985.12,4937.008,197520.0,297.12,227995.2,3937.504,585.675,4920.16,98480.0,11838.2808,25528.9704,76858.716,64620.6064,92034.484,89767.4744,69604.6792,58929.4472,18785.06,55085.7728,91067.4104,85135.96,80745.7216,61200.396,64773.2504,78068.0504,33254.7264,27050.4864,60131.888,11167.632,52984.2096,14935.4768,29743.9144,,95075.5464,22416.0176,51653.7448,44494.2488,25505.3352,6211.1336,,50434.5624,81607.4216,90218.5128,59504.5704,61546.0608,5370.1144,7368.2736,79087.3184,98343.1128,37375.1296,21429.248,87552.6592,39575.1728,34226.724,79934.2464,39844.0232,5675.4024,76152.6144,90981.7328,98480.0,8853.352,76300.3344,30199.8768,37982.7512,78740.6688,30208.74,98480.0,64703.3296,51409.5144,26402.488,21778.852,17211.3496,83917.7624,36268.2144,13171.7,75055.5472,41532.9552,31744.0432,81647.7984,24425.9944,,42141.5616,77982.3728,71085.8184,98480.0,,,55701.2728,81779.7616,98480.0,98480.0,93026.1776,79990.38,9840.0,96225.7928,98480.0,78694.3832,98185.5448,95321.7464,86477.2576,14130.8952
1903,39124.0,977.68,4905.512,196280.0,295.68,226992.8,3906.256,578.5125,4880.24,97720.0,11746.9212,25331.9556,76265.574,64121.9096,91324.226,89074.7116,69067.5188,58474.6708,18640.09,54660.6592,90364.6156,84478.94,80122.5824,60728.094,64273.3756,77465.5756,,26841.7296,,,52575.3144,14820.2152,29514.3716,45113.4152,94341.8196,22243.0264,51255.1172,44150.8732,25308.5028,6163.2004,87523.8952,,80977.6324,89522.2692,59045.3556,61071.0912,5328.6716,7311.4104,78476.9776,97584.1692,,21263.872,86876.9888,39269.7592,33962.586,79317.3696,39536.5348,5631.6036,75564.9216,90279.5992,97720.0,8785.028,75711.5016,29966.8152,37689.6268,,29975.61,97720.0,64203.9944,51012.7716,26198.732,,17078.5244,83270.1436,35988.3216,13070.05,74476.3208,41212.4328,31499.0648,81017.6976,24237.4916,85403.3712,41816.3424,77380.5592,70537.2276,97720.0,37736.5324,46067.1624,55271.4092,81148.6424,97720.0,97720.0,92308.2664,79373.07,9760.0,95483.1892,97720.0,78087.0748,97427.8172,94586.1196,85809.8864,
1904,38832.0,970.24,4874.016,195040.0,294.24,225990.4,3875.008,571.35,4840.32,96960.0,11655.5616,25134.9408,75672.432,63623.2128,90613.968,88381.9488,68530.3584,58019.8944,18495.12,54235.5456,89661.8208,83821.92,79499.4432,60255.792,63773.5008,76863.1008,32741.4528,26632.9728,59203.776,10995.264,52166.4192,14704.9536,29284.8288,44762.5536,93608.0928,22070.0352,50856.4896,43807.4976,25111.6704,6115.2672,86843.1936,49656.1248,80347.8432,88826.0256,58586.1408,60596.1216,5287.2288,7254.5472,,96825.2256,36798.2592,21098.496,86201.3184,38964.3456,33698.448,78700.4928,39229.0464,5587.8048,74977.2288,89577.4656,96960.0,8716.704,,29733.7536,,77525.3376,29742.48,96960.0,63704.6592,50616.0288,25994.976,21442.704,16945.6992,82622.5248,35708.4288,12968.4,73897.0944,40891.9104,,80387.5968,24048.9888,84739.1616,41491.1232,76778.7456,69988.6368,96960.0,37443.0432,45708.8832,54841.5456,80517.5232,96960.0,96960.0,91590.3552,78755.76,9680.0,94740.5856,96960.0,77479.7664,96670.0896,93850.4928,85142.5152,13912.7904
1905,38540.0,962.8,4842.52,193800.0,292.8,224988.0,3843.76,564.1875,4800.4,96200.0,11564.202,24937.926,75079.29,63124.516,89903.71,87689.186,67993.198,57565.118,18350.15,53810.432,88959.026,83164.9,78876.304,59783.49,63273.626,76260.626,32484.816,26424.216,58739.72,10909.08,51757.524,14589.692,29055.286,44411.692,92874.366,21897.044,50457.862,43464.122,24914.838,6067.334,86162.492,49266.906,79718.054,88129.782,58126.926,60121.152,5245.786,,77256.296,96066.282,36509.824,20933.12,85525.648,,33434.31,78083.616,38921.558,5544.006,74389.536,88875.332,96200.0,8648.38,74533.836,29500.692,37103.378,76917.672,29509.35,96200.0,63205.324,50219.286,25791.22,21274.63,16812.874,81974.906,35428.536,12866.75,73317.868,40571.388,31009.108,79757.496,23860.486,84074.952,41165.904,76176.932,69440.046,96200.0,37149.554,45350.604,54411.682,,96200.0,96200.0,90872.444,78138.45,9600.0,93997.982,96200.0,76872.458,95912.362,93114.866,,13803.738
1906,38248.0,955.36,4811.024,192560.0,291.36,223985.6,3812.512,557.025,4760.48,95440.0,11472.8424,24740.9112,74486.148,62625.8192,89193.452,86996.4232,,57110.3416,18205.18,53385.3184,88256.2312,82507.88,78253.1648,59311.188,62773.7512,75658.1512,32228.1792,26215.4592,,10822.896,51348.6288,14474.4304,28825.7432,44060.8304,92140.6392,21724.0528,50059.2344,43120.7464,24718.0056,6019.4008,85481.7904,48877.6872,79088.2648,87433.5384,57667.7112,59646.1824,5204.3432,7140.8208,76645.9552,95307.33840000001,36221.3888,20767.744,84849.9776,38353.5184,33170.172,77466.7392,38614.0696,5500.2072,73801.8432,88173.1984,95440.0,8580.056,73945.0032,29267.6304,36810.2536,76310.0064,29276.22,95440.0,62705.9888,49822.5432,25587.464,21106.556,16680.0488,81327.2872,35148.6432,12765.1,72738.6416,40250.8656,30764.1296,79127.3952,23671.9832,83410.7424,40840.6848,75575.1184,68891.4552,95440.0,36856.0648,44992.3248,53981.8184,79255.2848,95440.0,95440.0,90154.5328,77521.14,9520.0,93255.3784,95440.0,76265.1496,95154.6344,92379.2392,83807.7728,13694.6856
1907,37956.0,947.92,4779.528,191320.0,289.92,222983.2,3781.264,549.8625,4720.56,94680.0,11381.4828,24543.8964,73893.006,62127.1224,88483.194,86303.6604,66918.8772,56655.5652,18060.21,52960.2048,87553.4364,81850.86,77630.0256,58838.886,62273.8764,75055.6764,31971.5424,26006.7024,57811.608,10736.712,50939.7336,14359.1688,28596.2004,43709.9688,91406.9124,21551.0616,49660.6068,42777.3708,24521.1732,5971.4676,84801.0888,48488.4684,78458.4756,86737.2948,57208.4964,59171.2128,5162.9004,7083.9576,76035.6144,94548.3948,,20602.368,84174.3072,38048.1048,32906.034,76849.8624,38306.5812,5456.4084,73214.1504,87471.0648,94680.0,8511.732,73356.1704,29034.5688,36517.1292,75702.3408,29043.09,94680.0,62206.6536,49425.8004,25383.708,20938.482,16547.2236,80679.6684,34868.7504,12663.45,72159.4152,39930.3432,30519.1512,78497.2944,,82746.5328,40515.4656,74973.3048,68342.8644,94680.0,36562.5756,44634.0456,53551.9548,78624.16560000001,94680.0,94680.0,89436.6216,76903.83,9440.0,92512.7748,94680.0,75657.8412,94396.9068,91643.6124,83140.4016,13585.6332
1908,37664.0,940.48,4748.032,190080.0,288.48,221980.8,3750.016,542.7,4680.64,93920.0,11290.1232,24346.8816,73299.864,61628.4256,87772.936,85610.8976,66381.7168,56200.7888,17915.24,52535.0912,86850.6416,81193.84,77006.8864,58366.584,,74453.2016,31714.9056,25797.9456,57347.552,10650.528,50530.8384,14243.9072,28366.6576,43359.1072,90673.1856,21378.0704,49261.9792,42433.9952,24324.3408,5923.5344,,48099.2496,77828.6864,86041.0512,56749.2816,58696.2432,5121.4576,7027.0944,75425.2736,93789.4512,35644.5184,20436.992,83498.63680000001,37742.6912,32641.896,76232.9856,37999.0928,5412.6096,,86768.9312,93920.0,8443.408,,28801.5072,36224.0048,75094.6752,,93920.0,61707.3184,49029.0576,25179.952,20770.408,16414.3984,80032.0496,34588.8576,12561.8,71580.1888,39609.8208,30274.1728,77867.1936,23294.9776,82082.3232,,74371.4912,67794.2736,,36269.0864,44275.7664,53122.0912,77993.0464,93920.0,93920.0,88718.7104,76286.52,9360.0,91770.1712,93920.0,75050.5328,93639.1792,90907.9856,82473.0304,13476.5808
1909,37372.0,933.04,4716.536,188840.0,287.04,220978.4,3718.768,535.5375,4640.72,93160.0,11198.7636,24149.8668,72706.722,61129.7288,87062.678,84918.1348,65844.5564,55746.0124,,52109.9776,86147.8468,80536.82,76383.7472,57894.282,61274.1268,73850.7268,31458.2688,,56883.496,10564.344,50121.9432,14128.6456,28137.1148,43008.2456,89939.4588,21205.0792,48863.3516,42090.6196,24127.5084,,83439.6856,47710.0308,77198.8972,85344.8076,56290.0668,58221.2736,5080.0148,6970.2312,74814.9328,93030.5076,35356.0832,20271.616,82822.9664,37437.2776,32377.758,75616.1088,,5368.8108,72038.7648,86066.7976,93160.0,8375.084,72178.5048,28568.4456,35930.8804,74487.0096,28576.83,93160.0,61207.9832,48632.3148,24976.196,20602.334,16281.5732,79384.4308,34308.9648,12460.15,71000.9624,39289.2984,30029.1944,77237.0928,23106.4748,81418.1136,39865.0272,73769.6776,67245.6828,93160.0,35975.5972,43917.4872,52692.2276,77361.9272,93160.0,93160.0,88000.7992,75669.21,9280.0,,93160.0,74443.2244,92881.4516,90172.3588,81805.6592,
